ServiceTag,product,new_appgroup,node,产品线,hostname,IP,OS,装机模版,机型,机房,包间,机柜编号,机位,机柜位置,ASW编号,所有产品,节点数量,节点配置,区域,service,serviceInstanceNo,runtimeResourceLimit,region
816437359,ecs,aliyun_ayecsyd01_buffer,ecs_nc,专有云=浙江公安-小云=ECS=ayecsyd01,yd1a17001.cloud.a17.yd01,21.136.1.1,AliOS5U7-x86-64,houyi_kvmserver_5u7_hybrid_private,N32.22,yd01,yd1,A17,1,yd1-A17,ASW.10GE-1,ecs,,"[{""object"":""device"",""configType"":""monitor"",""configValue"":""ecs_server_新云磁盘,ecs_server_base""}]",10GE,satassdCluster,1,"{""mem_limit"":""2G"",""is_bigcontainer"":""false"",""calcType"":""none""}",cn-zj-zjsbgt-d01
816437358,ecs,aliyun_ayecsyd01_buffer,ecs_nc,专有云=浙江公安-小云=ECS=ayecsyd01,yd1a17002.cloud.a17.yd01,21.136.1.2,AliOS5U7-x86-64,houyi_kvmserver_5u7_hybrid_private,N32.22,yd01,yd1,A17,2,yd1-A17,ASW.10GE-1,ecs,,"[{""object"":""device"",""configType"":""monitor"",""configValue"":""ecs_server_新云磁盘,ecs_server_base""}]",10GE,satassdCluster,1,"{""mem_limit"":""2G"",""is_bigcontainer"":""false"",""calcType"":""none""}",cn-zj-zjsbgt-d01
816437366,ecs,aliyun_ayecsyd01_buffer,ecs_nc,专有云=浙江公安-小云=ECS=ayecsyd01,yd1a17003.cloud.a17.yd01,21.136.1.3,AliOS5U7-x86-64,houyi_kvmserver_5u7_hybrid_private,N32.22,yd01,yd1,A17,3,yd1-A17,ASW.10GE-1,ecs,,"[{""object"":""device"",""configType"":""monitor"",""configValue"":""ecs_server_新云磁盘,ecs_server_base""}]",10GE,satassdCluster,1,"{""mem_limit"":""2G"",""is_bigcontainer"":""false"",""calcType"":""none""}",cn-zj-zjsbgt-d01
816437370,ecs,aliyun_ayecsyd01_buffer,ecs_nc,专有云=浙江公安-小云=ECS=ayecsyd01,yd1a17004.cloud.a17.yd01,21.136.1.4,AliOS5U7-x86-64,houyi_kvmserver_5u7_hybrid_private,N32.22,yd01,yd1,A17,4,yd1-A17,ASW.10GE-1,ecs,,"[{""object"":""device"",""configType"":""monitor"",""configValue"":""ecs_server_新云磁盘,ecs_server_base""}]",10GE,satassdCluster,1,"{""mem_limit"":""2G"",""is_bigcontainer"":""false"",""calcType"":""none""}",cn-zj-zjsbgt-d01
816437364,ecs,aliyun_ayecsyd01_buffer,ecs_nc,专有云=浙江公安-小云=ECS=ayecsyd01,yd1a17101.cloud.a18.yd01,21.136.1.5,AliOS5U7-x86-64,houyi_kvmserver_5u7_hybrid_private,N32.22,yd01,yd1,A18,1,yd1-A18,ASW.10GE-1,ecs,,"[{""object"":""device"",""configType"":""monitor"",""configValue"":""ecs_server_新云磁盘,ecs_server_base""}]",10GE,satassdCluster,1,"{""mem_limit"":""2G"",""is_bigcontainer"":""false"",""calcType"":""none""}",cn-zj-zjsbgt-d01
816437337,ecs,aliyun_ayecsyd01_buffer,ecs_nc,专有云=浙江公安-小云=ECS=ayecsyd01,yd1a17102.cloud.a18.yd01,21.136.1.6,AliOS5U7-x86-64,houyi_kvmserver_5u7_hybrid_private,N32.22,yd01,yd1,A18,2,yd1-A18,ASW.10GE-1,ecs,,"[{""object"":""device"",""configType"":""monitor"",""configValue"":""ecs_server_新云磁盘,ecs_server_base""}]",10GE,satassdCluster,1,"{""mem_limit"":""2G"",""is_bigcontainer"":""false"",""calcType"":""none""}",cn-zj-zjsbgt-d01
816437243,ecs,ayecs_yd01_vpc_MGW,MGW,专有云=浙江公安-小云=ECS=ayvpc-yd01,yd1a21207.cloud.a23.yd01,21.136.1.7,AliOS6U2-x86-64,vpc_server,W1.2C,yd01,yd1,A23,7,yd1-A23,ASW.GE-1,ecs,,"[{""object"":""device"",""configType"":""monitor"",""configValue"":""vpc_mgw""}]",GE,vpc,1,"{""mem_limit"":""2G"",""is_bigcontainer"":""false"",""calcType"":""none""}",cn-zj-zjsbgt-d01
816437246,ecs,ayecs_yd01_vpc_MGW,MGW,专有云=浙江公安-小云=ECS=ayvpc-yd01,yd1b19108.cloud.b20.yd01,21.136.1.8,AliOS6U2-x86-64,vpc_server,W1.2C,yd01,yd1,B20,8,yd1-B20,ASW.GE-2,ecs,,"[{""object"":""device"",""configType"":""monitor"",""configValue"":""vpc_mgw""}]",GE,vpc,1,"{""mem_limit"":""2G"",""is_bigcontainer"":""false"",""calcType"":""none""}",cn-zj-zjsbgt-d01
816437249,ecs,ayecs_yd01_vpc_XGW,XGW,专有云=浙江公安-小云=ECS=ayvpc-yd01,yd1a21206.cloud.a23.yd01,21.136.1.9,AliOS6U2-x86-64,vpc_server,W1.2C,yd01,yd1,A23,6,yd1-A23,ASW.GE-1,ecs,,"[{""object"":""device"",""configType"":""monitor"",""configValue"":""vpc_xgw""}]",GE,vpc,1,"{""mem_limit"":""2G"",""is_bigcontainer"":""false"",""calcType"":""none""}",cn-zj-zjsbgt-d01
816437244,ecs,ayecs_yd01_vpc_XGW,XGW,专有云=浙江公安-小云=ECS=ayvpc-yd01,yd1b19107.cloud.b20.yd01,21.136.1.10,AliOS6U2-x86-64,vpc_server,W1.2C,yd01,yd1,B20,7,yd1-B20,ASW.GE-2,ecs,,"[{""object"":""device"",""configType"":""monitor"",""configValue"":""vpc_xgw""}]",GE,vpc,1,"{""mem_limit"":""2G"",""is_bigcontainer"":""false"",""calcType"":""none""}",cn-zj-zjsbgt-d01
